,Year_0,row_id,skill2
1799,2026,2026_635,Docker
1800,2026,2026_636,Rust
1808,2026,2026_644,Machine learning argolrythms
1822,2026,2026_658,Containerisation
1827,2026,2026_663,Project management
1831,2026,2026_667,DevOps
1835,2026,2026_671,Teaching skills
1838,2026,2026_674,Technical Leadership & Stakeholder Communication
1842,2026,2026_678,Project management
1843,2026,2026_679,Automated documentation and testing
1844,2026,2026_680,Prompting AI
1849,2026,2026_685,Better planning - time and effort (people time and people effort) required for a project/task
1852,2026,2026_688,Python best practices
1853,2026,2026_689,Managing my time across many projects
1854,2026,2026_690,Bare-metal GPU programming
1858,2026,2026_694,Training graduate or undergraduate students with RSE-related skills
1860,2026,2026_696,"Using AI to help develop tests, documentation"
1865,2026,2026_701,New tools
1868,2026,2026_704,Generating code using symbolic tools (SymPy)
1869,2026,2026_705,UX Research
1871,2026,2026_707,coding agent scaffolding
1872,2026,2026_708,Sales & Marketing
1873,2026,2026_709,Project Management
1875,2026,2026_711,Kernel module development / working directly with the operating system
1880,2026,2026_716,Machine Learning
1883,2026,2026_719,Machine Learning
1885,2026,2026_721,Navigating the politics of science collaborations
1887,2026,2026_723,"improve ability to refactor ""legacy"" code - I've read the book, but more techniques should help"
1888,2026,2026_724,Native mobile app development for iOS
1894,2026,2026_730,Machine learning in general.
1895,2026,2026_731,R
1901,2026,2026_737,Using GPUs
1905,2026,2026_741,Dask
1908,2026,2026_744,Data FAIR and metadata standards
1910,2026,2026_746,Analisis de requerimientos
1911,2026,2026_747,Time management
1913,2026,2026_749,I would like to learn Rust
1914,2026,2026_750,Develop more skills in C++ and SQL
1915,2026,2026_751,Naming and structuring files and directories
1917,2026,2026_753,More hardware knowledge
1919,2026,2026_755,Github Proffeciency
1923,2026,2026_759,How to build an internal RSE organization.
1928,2026,2026_764,Compute resource management
1933,2026,2026_769,Writing Skills 
1934,2026,2026_770,Time management
1937,2026,2026_773,CUDA programming
1939,2026,2026_775,GPU-based programming
1940,2026,2026_776,web frontend / backend
1946,2026,2026_782,leadership
1949,2026,2026_785,Choosing the right Pattern the first time around
1957,2026,2026_793,Code future-proofing
1965,2026,2026_801,Leadership
1966,2026,2026_802,Use of AI tools for software development
1968,2026,2026_804,Project Management
1969,2026,2026_805,"Using packages like COSMO LATTICE, Cosmo Transitions, etc"
1974,2026,2026_810,GPU computing
1975,2026,2026_811,Project Publishing  (when software is ready to publish and how to publish it properly)
1979,2026,2026_815,Amazon Web Services
1980,2026,2026_816,coding with AI agents
1981,2026,2026_817,Developing code documentation
1982,2026,2026_818,GPU offload
1985,2026,2026_821,Research software project management
1987,2026,2026_823,Machine Learning
1990,2026,2026_826,Scientific Communication and Stakeholder Alignment
1995,2026,2026_831,ML algorithms 
2004,2026,2026_840,data science
2005,2026,2026_841,ML/AI
2020,2026,2026_856,Closer contact to scientists and scientific methods
2025,2026,2026_861,"How to take a long-standing poorly-maintained project and make it maintainable, when the RSMF only funds already-maintainable software, and the primary maintainer treats it like a personal fief and resists basic things like branch protection for main"
2033,2026,2026_869,Project management
2035,2026,2026_871,CI/CD
2038,2026,2026_874,Product Management
2040,2026,2026_876,Machine Learning
2041,2026,2026_877,Rust
2042,2026,2026_878,Data Engineering/Science
2045,2026,2026_881,Architecture Documentation
2046,2026,2026_882,Software maintenance and sustainability strategy 
2050,2026,2026_886,Containerization
2051,2026,2026_887,mentoring junior developers
2055,2026,2026_891,software testing
2056,2026,2026_892,Collaborative software development
2059,2026,2026_895,web dev
2060,2026,2026_896,Core coding
2061,2026,2026_897,Laterales Führen von Kolleg:innen
2062,2026,2026_898,GitHub actions
2066,2026,2026_902,Group management
2067,2026,2026_903,Software development team management skills
2068,2026,2026_904,streamlined workflow development in R and python
2069,2026,2026_905,Creating test suites with AI
2071,2026,2026_907,documentation maintenance
2074,2026,2026_910,Deeper understanding of Julia and C++
2088,2026,2026_924,People Management (i.e. make your boss and team understand the importance of your work)
2090,2026,2026_926,Cloud Computing
2091,2026,2026_927,Promote my projects
2092,2026,2026_928,proper SQL course
2093,2026,2026_929,Better routine in version control (GIT)
2096,2026,2026_932,Design and implement DeepLearning/AI architectures directly in rust
2098,2026,2026_934,C++23
2103,2026,2026_939,Project management
2104,2026,2026_940,Go proficiency
2107,2026,2026_943,Kubernetes/cloud native
2108,2026,2026_944,Understanding JAX and PyTorch from performance engineering perspective
2110,2026,2026_946,Good practices in software development 
2111,2026,2026_947,always improving C++ skills
2112,2026,2026_948,Parallel processing
2113,2026,2026_949,usage of AI
2114,2026,2026_950,python packages for webapp backend development
2118,2026,2026_954,Software achitecture
2119,2026,2026_955,"Fortgeschrittene Algebra und Analysis, höhere Mathematik"
2120,2026,2026_956,Automation
2123,2026,2026_959,GPU acceleration
2131,2026,2026_967,Teaching / mentoring
2133,2026,2026_969,Rust
2135,2026,2026_971,Project management
2137,2026,2026_973,Presenting my work
2139,2026,2026_975,Quality control
2140,2026,2026_976,Management
2142,2026,2026_978,RSE leadership management 
2143,2026,2026_979,GPU acceleration
2150,2026,2026_986,ML/Ops
2155,2026,2026_991,Implementation with AI frameworks
2164,2026,2026_1000,Machine learning
2168,2026,2026_1004,Using virtual environments
2171,2026,2026_1007,functional programming
2172,2026,2026_1008,Computational minimization techniques in science and engineers
2174,2026,2026_1010,debugging
2175,2026,2026_1011,learning Go / web assembly for web backend development
2176,2026,2026_1012,"Software packaging (R packages, Python packages)"
2178,2026,2026_1014,Testing 
2179,2026,2026_1015,Web development
2181,2026,2026_1017,Django
2187,2026,2026_1023,Statistics
2191,2026,2026_1027,Databases
2194,2026,2026_1030,Ai-assisted software development
2200,2026,2026_1036,ROS
2202,2026,2026_1038,Better understanding of how University finances work
2208,2026,2026_1044,Deep Learning 
2210,2026,2026_1046,Stakeholder management
2212,2026,2026_1048,Systems-level development
2214,2026,2026_1050,in-depth automated testing setup
2216,2026,2026_1052,using AI/ML
2219,2026,2026_1055,Project planning
2220,2026,2026_1056,gute Tests
2222,2026,2026_1058,Leader Skills
2229,2026,2026_1065,Advanced testing methods
2233,2026,2026_1069,pedagogy
2241,2026,2026_1077,LLM training and optimisation
2244,2026,2026_1080,More in-depth GPU understanding
2246,2026,2026_1082,AI development
2249,2026,2026_1085,LLM agent orchestration
2250,2026,2026_1086,Matching code complexity with the intended target (e.g. more verbose commenting to include/guide users that are experts in their field but not fully proficient with coding)
2252,2026,2026_1088,Database coverage - what and when to use
2255,2026,2026_1091,project management
2256,2026,2026_1092,Agent based modelling on HPC infrastructure
2257,2026,2026_1093,DevOps / Cloud architect
2258,2026,2026_1094,better / more efficient communicaton skills
2265,2026,2026_1101,julia
2267,2026,2026_1103,Community organizing
2270,2026,2026_1106,Intellectual property management in Software Development
2273,2026,2026_1109,Proper (automated) testing
2274,2026,2026_1110,Research project management
2276,2026,2026_1112,Networking 
2277,2026,2026_1113,pipeline with HPC
2278,2026,2026_1114,Reproducibility and research software best practices
2282,2026,2026_1118,Python
2288,2026,2026_1124,Better with devops
2289,2026,2026_1125,DevOps
2290,2026,2026_1126,System Administration
2291,2026,2026_1127,AI Agent Assisted Development
2292,2026,2026_1128,secure coding
2293,2026,2026_1129,Agentic Coding
2296,2026,2026_1132,to improve my skills using coding agents
2297,2026,2026_1133,Software Architecture
2298,2026,2026_1134,How to structure for projects for AI flow
2302,2026,2026_1138,Team leadership
2307,2026,2026_1143,Strategic leadership & University politics
2308,2026,2026_1144,Effectively testing research software to avoid that bugs that appear only on specific systems
2313,2026,2026_1149,Überblick über inhaltlich verwandte Softwareentwicklung in meiner engeren Fachcommunity
2314,2026,2026_1150,CD for documentation using Documenter.jl and GitHub Actions
2315,2026,2026_1151,Better knowledge of testing
2317,2026,2026_1153,advanced data engineering & reproducible workflows
2318,2026,2026_1154,Cómo usar bien y de manera responsable herramientas de IA como Claude Code
2319,2026,2026_1155,Kubernetes
2323,2026,2026_1159,Hardware accelerated computing
2325,2026,2026_1161,Architecture and road mapping.
2336,2026,2026_8,Mentoring
2337,2026,2026_9,Marketing
2338,2026,2026_10,UI Design
2341,2026,2026_13,Time management
2345,2026,2026_17,Long-form writing
2346,2026,2026_18,Test driven development
2349,2026,2026_21,Data storage systems
2351,2026,2026_23,Test-driven development
2352,2026,2026_24,Chemistry
2357,2026,2026_29,socio-technical systems thinking
2360,2026,2026_32,collaboration
2362,2026,2026_34,Rust
2363,2026,2026_35,Reproducibilidad y sostenibilidad del software de investigación a largo plazo
2376,2026,2026_48,Software testing
2377,2026,2026_49,How to build and deploy agentic AI
2382,2026,2026_54,Project Management
2387,2026,2026_59,testing
2388,2026,2026_60,Formal development methodologies
2398,2026,2026_70,Leadership
2401,2026,2026_73,community building
2405,2026,2026_77,learn object orientation?
2409,2026,2026_81,Advanced C++
2410,2026,2026_82,Grant/application writing
2415,2026,2026_87,Reaching / engaging users
2416,2026,2026_88,Object Oriented Programming
2417,2026,2026_89,Sofware migration (matlab to C) with AI assistant 
2419,2026,2026_91,Producing an efficient code
2420,2026,2026_92,testing
2421,2026,2026_93,refactoring techniques
2429,2026,2026_101,Test automation
2433,2026,2026_105,aspect of project management / product management
2435,2026,2026_107,Formal Verification for FPGAs
2446,2026,2026_118,Marketing my skills as a consultant or contractor 
2453,2026,2026_125,agentic coding
2455,2026,2026_127,Collaborating
2456,2026,2026_128,Python
2458,2026,2026_130,Agile Management
2460,2026,2026_132,more formal ways to assess the resources needed
2462,2026,2026_134,Browser-based visualisations with Python backend (currently using mesa but I want to know about other options)
2464,2026,2026_136,Data science
2468,2026,2026_140,Model context protocol (MCP)
2470,2026,2026_142,AI/ML
2472,2026,2026_144,Project management/ Roadmaps/ Milestone setting
2473,2026,2026_145,Advanced pandas/geopandas for data analysis
2474,2026,2026_146,Utilisation de l'intelligence artificielle générative pour aide au codage
2476,2026,2026_148,Find a longterm contract / job where I can grow
2479,2026,2026_151,Java
2482,2026,2026_154,improve on understanding CI/CD - had to self teach this skill and there are still gaps present
2485,2026,2026_157,object-oriented scientific software design
2496,2026,2026_168,Projektmanagement
2498,2026,2026_170,Ai-assisted code development
2509,2026,2026_181,Debuging
2515,2026,2026_187,Hackathon management
2516,2026,2026_188,empathy
2517,2026,2026_189,Improve CI/CD knowledge
2519,2026,2026_191,Managing many projects
2521,2026,2026_193,In-depth Linux system administration
2524,2026,2026_196,Better academic skills in regards to publishing papers
2525,2026,2026_197,Proper DB management
2532,2026,2026_204,WASM
2533,2026,2026_205,process modeling and mining
2537,2026,2026_209,Confidence
2539,2026,2026_211,Using efficiently AI tools and technologies
2545,2026,2026_217,base de données
2547,2026,2026_219,C++
2549,2026,2026_221,better quality control pipelines
2550,2026,2026_222,improve my pytorch
2556,2026,2026_228,GPU programming
2559,2026,2026_231,Project management
2564,2026,2026_236,Stress management 
2566,2026,2026_238,Just improve my coding knowledge regarding development
2567,2026,2026_239,Team management and training
2571,2026,2026_243,Machine Learning
2577,2026,2026_249,Improving Institutional-level appreciation of RSE work
2591,2026,2026_263,"how to go from ""code in jupyter notebook"" to an ""interactiave app""/""final product usable by anyone"""
2592,2026,2026_264,Proficiency with Azure and Databricks
2598,2026,2026_270,Asynchronous programming
2599,2026,2026_271,Theory
2600,2026,2026_272,SQL databases
2607,2026,2026_279,advanced python
2609,2026,2026_281,More hands on experience with current transformer / diffusion etc models
2610,2026,2026_282,Harnessing AI tools
2617,2026,2026_289,Knowledge of web-related technology such as JavaScript and CSS
2632,2026,2026_304,Testing beyond unit tests for big data
2635,2026,2026_307,Community building
2647,2026,2026_319,Better organisation and time prioritisation
2653,2026,2026_325,automated testing
2656,2026,2026_328,Community Building 101
2658,2026,2026_330,Software development/management models
2662,2026,2026_334,Extended Software Testing 
2668,2026,2026_340,Database management skills
2671,2026,2026_343,Rust development for python modules?
2672,2026,2026_344,Cybersecurity and Network Engineering
2674,2026,2026_346,Feature collection and documentation
2677,2026,2026_349,Better parallelisation
2678,2026,2026_350,Open Source Hardware
2680,2026,2026_352,Grant application
2681,2026,2026_353,Code base structures
2683,2026,2026_355,Parallel Programming
2684,2026,2026_356,GPU processing
2686,2026,2026_358,presenting/teaching
2687,2026,2026_359,Rust programming
2691,2026,2026_363,ui design 
2693,2026,2026_365,Computer architecture
2694,2026,2026_366,Report Writing
2701,2026,2026_373,Cultural heritage digital documentation in different formats
2707,2026,2026_379,Adopting the recent trends of Ai from industry for improving productivity/ development activity
2710,2026,2026_382,coding in cooperation with coding assistants
2715,2026,2026_387,Publicizing and promoting my software
2716,2026,2026_388,Telepathy
2722,2026,2026_394,general coding skills
2723,2026,2026_395,project planning
2724,2026,2026_396,Distributed computing
2733,2026,2026_405,Cómo usar la IA eficientemente para mejorar mi código
2743,2026,2026_415,Stronger (technical) AI/ML background
2746,2026,2026_418,Reusable Patterns
2750,2026,2026_422,Communication
2752,2026,2026_424,Communication
2759,2026,2026_431,XQuery
2768,2026,2026_440,Negotiating
2771,2026,2026_443,gitlab ci/cd
2776,2026,2026_448,STAN
2779,2026,2026_451,Research Software Maintenance
2781,2026,2026_453,Projektmanagement
2787,2026,2026_459,Software project management
2789,2026,2026_461,cacul intensif sur GPU
2796,2026,2026_468,Wasm
2799,2026,2026_471,leadership
2800,2026,2026_472,DevOps
2812,2026,2026_484,HPC specific technical skills
2813,2026,2026_485,Design of Software architecture for numerical software library and packages
2815,2026,2026_487,Making software FAIR and reproducible
2816,2026,2026_488,"3. I dont know, I am Occasional developer. "
2824,2026,2026_496,deployment
2831,2026,2026_503,Strategy and stakeholder management
2839,2026,2026_511,GPU / large scale model training
2840,2026,2026_512,RUST
2843,2026,2026_515,Integrate AI in workflow
2844,2026,2026_516,"testing strategies for complex systems (mocking and UI testing, system and integration testing strategies)"
2850,2026,2026_522,improve on Python
2851,2026,2026_523,documenting
2861,2026,2026_533,Improved understanding of data structures and algorithms (not enough work hours available to dedicate to learning and personal life too busy)
2872,2026,2026_544,Law
2873,2026,2026_545,GPU computing
2875,2026,2026_547,Project Management
2878,2026,2026_550,IDEs
2880,2026,2026_552,Rust integration with Python
2886,2026,2026_558,Systems engineering
2898,2026,2026_570,Learning how to effectively use accelerators such as GPUs/TPUs
2899,2026,2026_571,Rust
2900,2026,2026_572,research writing
2901,2026,2026_573,Dart
2910,2026,2026_582,Causality analysis
2925,2026,2026_597,Formal Testing for software systems
2941,2026,2026_613,How to teach effectively?
2944,2026,2026_616,Project Organisation
2945,2026,2026_617,Low-level Linux Kernel unterstanding
2950,2026,2026_622,Data visualization
2952,2026,2026_624,Technical coding skills
2953,2026,2026_625,Software maintainability
2956,2026,2026_628,testing
2957,2026,2026_629,Airworthiness Certification
2962,2026,2026_634,none
2964,2026,2026_636,Full-Stack Development
2972,2026,2026_644,infrastructure/cluster development
2986,2026,2026_658,Systems architecture
2991,2026,2026_663,Data structure and algorithms
2999,2026,2026_671,Traveling skills
3006,2026,2026_678,"cloud, HPC"
3007,2026,2026_679,Parallelization
3008,2026,2026_680,Negotiation skills
3013,2026,2026_685,Thinking about the bigger picture / next step in the project
3016,2026,2026_688,How to make use of OpenMP/MPI libraries
3018,2026,2026_690,Distributed Systems
3022,2026,2026_694,Learn to use a workflow management tool that's not too complicated
3024,2026,2026_696,Mentoring new RSEs
3029,2026,2026_701,Methods
3033,2026,2026_705,Python/FastAPI
3039,2026,2026_711,Networking
3044,2026,2026_716,High Performance Computing
3047,2026,2026_719,Formal Software testing
3049,2026,2026_721,Working with difficult personalities
3051,2026,2026_723,guides for packaging python with conda that I could actually get others to follow
3052,2026,2026_724,Continuous deployment 
3058,2026,2026_730,"Best practices for clean, modular, efficient, and navigable code."
3059,2026,2026_731,"Using a ""real"" database like Postgres"
3065,2026,2026_737,Best practice use of Coding Agents
3072,2026,2026_744,"Cross Border DTA, Data Sharing and Policy"
3074,2026,2026_746,Nuevas metodologias de desarrollo.
3075,2026,2026_747,Project management
3077,2026,2026_749,I would like to understand databases better
3078,2026,2026_750,"Learn more about structuring, maintaining and testing code"
3079,2026,2026_751,Resource allocation on cloud
3081,2026,2026_753,More DevOps knowledge
3092,2026,2026_764,Server configuration
3097,2026,2026_769,Socialising 
3098,2026,2026_770,"PTX/GFX analysis + optimisation, rather than simply high-level CUDA/HIP performance analysis"
3101,2026,2026_773,Machine learning
3103,2026,2026_775,more time for practice
3104,2026,2026_776,linux wizardry
3113,2026,2026_785,Create more effective learning Content
3129,2026,2026_801,Data analysis
3130,2026,2026_802,Planning/scoping research software projects
3132,2026,2026_804,Basic UI/UX
3133,2026,2026_805,Git
3138,2026,2026_810,Networking
3139,2026,2026_811,Good coding practices in AI-assisted era.
3143,2026,2026_815,Automated Testing
3144,2026,2026_816,advanced topics in software testing/testable software
3145,2026,2026_817,Handling large-scale projects
3146,2026,2026_818,Environmental sustainability
3149,2026,2026_821,Containerisation and other DevOps aligned skills
3151,2026,2026_823,Time management
3168,2026,2026_840,program optimization
3169,2026,2026_841,assembly
3199,2026,2026_871,Kubernetes
3202,2026,2026_874,Presentation Skills
3204,2026,2026_876,Unit testing/CI
3205,2026,2026_877,Generación de Contenido
3206,2026,2026_878,AI & ML
3209,2026,2026_881,Requirements Engineering
3210,2026,2026_882,Software deployment
3214,2026,2026_886,Localization
3215,2026,2026_887,Rust
3219,2026,2026_891,packaging
3220,2026,2026_892,Open-source development practices
3223,2026,2026_895,database: MongoDB
3224,2026,2026_896,Stakeholders' communication
3225,2026,2026_897,Software-Architektur
3226,2026,2026_898,#Webhooks
3230,2026,2026_902,Grant writing
3235,2026,2026_907,volunteer project management
3238,2026,2026_910,Gaining more experience with leading a group
3252,2026,2026_924,Organising courses (just spreading and exchanging the knowledge and finding likeminded people)
3254,2026,2026_926,GPU Computing
3255,2026,2026_927,Fundraising
3257,2026,2026_929,"Social skills for interacting with ""clients"""
3260,2026,2026_932,"IT security: improved observability and automated intrusion detection, e.g. anomaly detection"
3262,2026,2026_934,Machine Learning
3268,2026,2026_940,Network Security
3272,2026,2026_944,Designing domain-specific FPGA accelerators
3274,2026,2026_946,Teaching a new person about the software (language)
3275,2026,2026_947,improve knowledge of testing methods and frameworks (CI and standalone)
3276,2026,2026_948,Rust
3282,2026,2026_954,Interoperability
3283,2026,2026_955,Reverse engineering von proprietären Dateiformaten
3284,2026,2026_956,Test harnesses
3287,2026,2026_959,Profiling
3295,2026,2026_967,Cluster management
3297,2026,2026_969,Workflows
3299,2026,2026_971,Stakeholder management
3301,2026,2026_973,Acquiring new projects
3303,2026,2026_975,Pipeline implementation
3306,2026,2026_978,Communities of Practice
3307,2026,2026_979,front-end web development
3319,2026,2026_991,Differential equations and non-linear material behaviour understanding
3328,2026,2026_1000,Software quality assessment
3332,2026,2026_1004,How to find people who value my skills and want to offer me a job
3335,2026,2026_1007,more formal project management methods
3336,2026,2026_1008,Database design and development
3338,2026,2026_1010,efficiently using the GUI
3339,2026,2026_1011,learning Rust / Zig for embedded or systems programming
3340,2026,2026_1012,Julia
3342,2026,2026_1014,Coding Agents
3343,2026,2026_1015,Interface design
3345,2026,2026_1017,Improve scientific writing skills
3351,2026,2026_1023,Research Landscape and Funding
3358,2026,2026_1030,dealing with legacy code produced by untrained researchers and fast changing requirements while ensuring overall quality and maintainability
3364,2026,2026_1036,Gestión de proyectos
3374,2026,2026_1046,Data storage optimisation
3376,2026,2026_1048,Database design
3378,2026,2026_1050,containerization
3380,2026,2026_1052,grant proposal writing
3383,2026,2026_1055,Documentation targeting new users or developers
3384,2026,2026_1056,Code Review
3386,2026,2026_1058,GTD
3393,2026,2026_1065,Software architecture
3405,2026,2026_1077,HPC
3408,2026,2026_1080,More time for writing proper documentation
3410,2026,2026_1082,Writing successful grant proposals
3413,2026,2026_1085,Foundational maths and computer science
3414,2026,2026_1086,Networking with other RSEs
3416,2026,2026_1088,User profiling - what are their needs etc.
3419,2026,2026_1091,teamleading
3420,2026,2026_1092,Simulaton based inference
3422,2026,2026_1094,better / more efficient management skills
3431,2026,2026_1103,Technical writing
3434,2026,2026_1106,Technical Leadership and Research Communication
3437,2026,2026_1109,Better documentation skills
3438,2026,2026_1110,HPC
3440,2026,2026_1112,Llm
3441,2026,2026_1113,containerization
3442,2026,2026_1114,Cross-disciplinary communication
3452,2026,2026_1124,General computer science knowledge
3453,2026,2026_1125,Physics
3454,2026,2026_1126,Security Pentesting
3455,2026,2026_1127,Coordinating teams of RSEs
3456,2026,2026_1128,risk management
3457,2026,2026_1129,Enterprise Architecture
3461,2026,2026_1133,Optimization (mathematics)
3466,2026,2026_1138,Time management
3471,2026,2026_1143,Coaching
3472,2026,2026_1144,More effective usage of CI/CD pipelines to avoid repetitive manual work
3477,2026,2026_1149,Skripting mit Bash und/oder Python
3478,2026,2026_1150,"Using LLMs and agents (ideally local, e.g., via llama.cpp) for software development"
3481,2026,2026_1153,stronger technical communication for interdisciplinary collaboration.
3482,2026,2026_1154,Licenciamiento y atribución
3483,2026,2026_1155,Project Management
3487,2026,2026_1159,Creative problem solving
3489,2026,2026_1161,Better testing skills.
