,socio1_0,socio4qde_0,socio4qnl_0,socio4quk_0,socio4qus_0,socio4qzaf_0,socio4qnzl_0,socio4qaus_0
848,United States,,,,"≥ $110,000 and < $129,999",,,
850,United States,,,,"≥ $110,000 and < $129,999",,,
851,United States,,,,"≥ $150,000 and < $199,999",,,
852,United States,,,,"≥ $110,000 and < $129,999",,,
853,United States,,,,"≥ $110,000 and < $129,999",,,
854,United States,,,,"≥ $110,000 and < $129,999",,,
855,United States,,,,Prefer not to say,,,
856,United States,,,,"≥ $110,000 and < $129,999",,,
857,United States,,,,"≥ $130,000 and < $149,999",,,
859,United States,,,,"≥ $110,000 and < $129,999",,,
860,United States,,,,"≥ $130,000 and < $149,999",,,
861,United States,,,,"≥ $70,000 and < $89,999",,,
862,United States,,,,"≥ $110,000 and < $129,999",,,
863,United States,,,,"> $200,000",,,
864,United States,,,,"≥ $110,000 and < $129,999",,,
865,United States,,,,"≥ $90,000 and < $109,999",,,
867,United States,,,,"≥ $70,000 and < $89,999",,,
868,United States,,,,"≥ $150,000 and < $199,999",,,
869,United States,,,,"≥ $110,000 and < $129,999",,,
870,United States,,,,"≥ $90,000 and < $109,999",,,
871,United States,,,,"≥ $110,000 and < $129,999",,,
872,United States,,,,"≥ $110,000 and < $129,999",,,
873,United States,,,,"≥ $90,000 and < $109,999",,,
874,United States,,,,"≥ $110,000 and < $129,999",,,
875,United States,,,,"≥ $150,000 and < $199,999",,,
876,United States,,,,"≥ $50,000 and < $69,999",,,
877,United States,,,,"≥ $90,000 and < $109,999",,,
879,United States,,,,"≥ $90,000 and < $109,999",,,
880,United States,,,,"< $30,000",,,
882,United States,,,,"≥ $150,000 and < $199,999",,,
883,United States,,,,"≥ $90,000 and < $109,999",,,
884,United States,,,,"≥ $50,000 and < $69,999",,,
885,United States,,,,"≥ $70,000 and < $89,999",,,
886,United States,,,,"≥ $50,000 and < $69,999",,,
887,United States,,,,"≥ $110,000 and < $129,999",,,
888,United States,,,,"≥ $90,000 and < $109,999",,,
889,United States,,,,"≥ $110,000 and < $129,999",,,
891,United States,,,,"≥ $90,000 and < $109,999",,,
892,United States,,,,"≥ $90,000 and < $109,999",,,
893,United States,,,,"≥ $110,000 and < $129,999",,,
894,United States,,,,"≥ $70,000 and < $89,999",,,
895,United States,,,,"≥ $90,000 and < $109,999",,,
896,United States,,,,"≥ $110,000 and < $129,999",,,
897,United States,,,,"≥ $150,000 and < $199,999",,,
898,United States,,,,"≥ $90,000 and < $109,999",,,
899,United States,,,,"≥ $90,000 and < $109,999",,,
900,United States,,,,"≥ $130,000 and < $149,999",,,
901,United States,,,,"≥ $110,000 and < $129,999",,,
902,United States,,,,"≥ $90,000 and < $109,999",,,
903,United States,,,,"≥ $90,000 and < $109,999",,,
904,United States,,,,"≥ $110,000 and < $129,999",,,
905,United States,,,,"≥ $130,000 and < $149,999",,,
907,United States,,,,"≥ $90,000 and < $109,999",,,
908,United States,,,,"≥ $50,000 and < $69,999",,,
909,United States,,,,"≥ $110,000 and < $129,999",,,
910,United States,,,,"≥ $90,000 and < $109,999",,,
911,United States,,,,"≥ $150,000 and < $199,999",,,
912,United States,,,,"≥ $70,000 and < $89,999",,,
913,United States,,,,"≥ $30,000 and < $49,999",,,
914,United States,,,,"≥ $150,000 and < $199,999",,,
915,United States,,,,"≥ $130,000 and < $149,999",,,
916,United States,,,,Prefer not to say,,,
917,United States,,,,"≥ $150,000 and < $199,999",,,
918,United States,,,,"≥ $110,000 and < $129,999",,,
919,United States,,,,"≥ $90,000 and < $109,999",,,
920,United States,,,,"≥ $90,000 and < $109,999",,,
921,United States,,,,"< $30,000",,,
922,United States,,,,"≥ $90,000 and < $109,999",,,
923,United States,,,,"≥ $90,000 and < $109,999",,,
924,United States,,,,"≥ $110,000 and < $129,999",,,
925,United States,,,,"≥ $150,000 and < $199,999",,,
926,United States,,,,"≥ $90,000 and < $109,999",,,
927,United States,,,,"≥ $90,000 and < $109,999",,,
928,United States,,,,"≥ $90,000 and < $109,999",,,
929,United States,,,,"≥ $90,000 and < $109,999",,,
931,United States,,,,"≥ $70,000 and < $89,999",,,
932,United States,,,,"≥ $70,000 and < $89,999",,,
933,United States,,,,"≥ $70,000 and < $89,999",,,
934,United States,,,,"≥ $90,000 and < $109,999",,,
935,United States,,,,"≥ $30,000 and < $49,999",,,
936,United States,,,,"≥ $90,000 and < $109,999",,,
938,United States,,,,"≥ $70,000 and < $89,999",,,
939,United States,,,,"> $200,000",,,
940,United States,,,,"≥ $30,000 and < $49,999",,,
941,United States,,,,"≥ $90,000 and < $109,999",,,
942,United States,,,,"≥ $70,000 and < $89,999",,,
943,United States,,,,"≥ $90,000 and < $109,999",,,
944,United States,,,,"≥ $90,000 and < $109,999",,,
946,United States,,,,"≥ $90,000 and < $109,999",,,
947,United States,,,,"≥ $70,000 and < $89,999",,,
948,United States,,,,"≥ $90,000 and < $109,999",,,
950,United States,,,,"≥ $50,000 and < $69,999",,,
951,United States,,,,"≥ $110,000 and < $129,999",,,
953,United States,,,,"≥ $50,000 and < $69,999",,,
954,United States,,,,Prefer not to say,,,
955,United States,,,,"≥ $50,000 and < $69,999",,,
957,United States,,,,"≥ $150,000 and < $199,999",,,
958,United States,,,,"≥ $70,000 and < $89,999",,,
959,United States,,,,"≥ $50,000 and < $69,999",,,
960,United States,,,,"≥ $150,000 and < $199,999",,,
961,United States,,,,"> $200,000",,,
962,United States,,,,"≥ $130,000 and < $149,999",,,
963,United States,,,,"> $200,000",,,
964,United States,,,,"≥ $150,000 and < $199,999",,,
965,United States,,,,"≥ $30,000 and < $49,999",,,
967,United States,,,,"> $200,000",,,
968,United States,,,,"≥ $110,000 and < $129,999",,,
970,United States,,,,"≥ $70,000 and < $89,999",,,
971,United States,,,,"≥ $90,000 and < $109,999",,,
972,United States,,,,"≥ $70,000 and < $89,999",,,
973,United States,,,,"≥ $30,000 and < $49,999",,,
974,United States,,,,"≥ $70,000 and < $89,999",,,
976,United States,,,,"≥ $30,000 and < $49,999",,,
977,United States,,,,"≥ $90,000 and < $109,999",,,
978,United States,,,,"≥ $150,000 and < $199,999",,,
979,United States,,,,"> $200,000",,,
981,United States,,,,"≥ $90,000 and < $109,999",,,
982,United States,,,,"≥ $50,000 and < $69,999",,,
983,United States,,,,"≥ $90,000 and < $109,999",,,
984,United States,,,,"≥ $90,000 and < $109,999",,,
985,United States,,,,"≥ $90,000 and < $109,999",,,
986,United States,,,,"≥ $150,000 and < $199,999",,,
988,United States,,,,"≥ $90,000 and < $109,999",,,
989,United States,,,,"≥ $90,000 and < $109,999",,,
991,United States,,,,"≥ $110,000 and < $129,999",,,
992,United States,,,,"≥ $70,000 and < $89,999",,,
993,United States,,,,"≥ $70,000 and < $89,999",,,
994,United States,,,,"≥ $50,000 and < $69,999",,,
995,United States,,,,"≥ $30,000 and < $49,999",,,
996,United States,,,,"≥ $90,000 and < $109,999",,,
997,United States,,,,"≥ $90,000 and < $109,999",,,
998,United States,,,,"≥ $70,000 and < $89,999",,,
999,United States,,,,"≥ $70,000 and < $89,999",,,
1000,United States,,,,"≥ $110,000 and < $129,999",,,
